Family,Taxon,Former distribution,Extinction date ,min.–max. where available)1,Extinction date (min.–max. where available)1,Justification notes2,Species / subspecies status3,,,,,,,,,,,
Fringillidae,Kauai Akialoa Hemignathus ellisianus stejnegeri,"Hawaiian Is, USA",1969,,1969,"The taxon was last recorded in 1969 (Olson and James 1995), around which time it is thought to have gone extinct (E. VanderWerf in litt. 2011). Intensive surveys since have failed to find it (Gorresen et al. 2009).",EX / EX,,,,,,,,,,,
Oriolidae,North Island Piopio Turnagra tanagra,"North I, New Zealand",1970,1902–1970),1970 (1902–1970),"The genus Turnagra is included in Oriolidae following Johansson et al. (2011). The last substantiated record of this species was a specimen shot in 1902. There have been unconfirmed reports since, but none since around 1970 (Tennyson and Martinson 2006).",EX,,,,,,,,,,,
Fringillidae,Kakawahie Paroreomyza flammea,"Hawaiian Is, USA",1970,1961–1979),1970 (1961–1979),"The last sightings were between 1961 and 1963 on Moloka‘i. The Hawaiian Forest Bird Survey beginning in 1979 failed to find the species, and there have been no records since (Gorresen et al. 2009).",EX,,,,,,,,,,,
Columbidae,Socorro Dove Zenaida graysoni,"Socorro, Mexico",1972,,1972,The last sighting in the wild was in 1972 (BirdLife International 2011).,EW,,,,,,,,,,,
Acanthisittidae,South Island Bush Wren Xenicus longipes longipes,"South I, New Zealand",1972,,1972,The taxon was last recorded in 1972 (Collar et al. 1994).,EX / EX,,,,,,,,,,,
Rallidae,Bar-winged Rail Nesoclopeus poecilopterus,Fiji,1973,,1973,"It is known from 12 specimens from Vitu Levu and Ovalau collected in the 19th century, and reports from Taveuni in 1971 and Vitu Levu in 1973 (BirdLife International 2011).",EX,,,,,,,,,,,
Podicipedidae,Colombian Grebe Podiceps andinus,"Lake Tota, Colombia",1979,1977–1981),1979 (1977–1981),"The last confirmed record was in 1977, and intensive studies in 1981 and 1982 failed to find the species (BirdLife International 2011).",EX,,,,,,,,,,,
Monarchidae,Eiao Monarch Pomarea fluxa,"Eiao, French Polynesia",1982,1977–1987),1982 (1977–1987),"The species was last recorded in 1977, and 10 years later a survey failed to find it (Thibault and Meyer 2001). It has not been seen since.",EX,,,,,,,,,,,
Monarchidae,Guam Flycatcher Myiagra freycineti,Guam,1983,,1983,"Common in forest until the 1970s, this species plummeted to extinction in 1983 (BirdLife International 2011).",EX,,,,,,,,,,,
Podicipedidae,Atitlan Grebe Podilymbus gigas,"Lake Atitlán, Guatemala",1985,1983–1986),1985 (1983–1986),The species was reduced to 30 individuals by 1983 and was extinct by 1986 (BirdLife International 2011).,EX,,,,,,,,,,,
Sylviidae,Aldabra Warbler Nesillas aldabrana,"Aldabra, Seychelles",1985,1983–1986),1985 (1983–1986),The last records were in 1983; intensive searches in 1986 confirmed that the species was extinct (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,Guam Rail Gallirallus owstoni,Guam,1987,,1987,The species was extirpated from the wild in 1987 (BirdLife International 2011).,EW,,,,,,,,,,,
Cracidae,Alagoas Curassow Mitu mitu,NE Brazil,1988,,1988,The most recent reports in the wild were of individuals hunted in 1984 and 1988 (del Hoyo 1994).,EW,,,,,,,,,,,
Turdidae,Kamao Myadestes myadestinus,"Hawaiian Is, USA",1990,1985–1995),1990 (1985–1995),"The last confirmed sighting of the species was in 1985. Unconfirmed reports continued until 1991, but the lack of confirmed records despite intensive and targeted searches in 1995 and 1997, make it appropriate to classify this species as Extinct (BirdLife International 2011).",EX,,,,,,,,,,,
Mohoidae,Bishop's Oo Moho bishopi,"Hawaiian Is, USA",1991,1981–2001),1991 (1981–2001),It was last recorded in 1981 and considered extinct by 2001 (BirdLife International 2011).,EX,,,,,,,,,,,
Mohoidae,Kauai Oo Moho braccatus,"Hawaiian Is, USA",1993,1987–1998),1993 (1987–1998),"The last report, of vocalisations, came from 1987. Surveys since have been unsuccessful and it was considered extinct by 1998 (BirdLife International 2011).",EX,,,,,,,,,,,
Podicipedidae,Alaotra Grebe Tachybaptus rufolavatus,"Lake Alaotra, Madagascar",1997,1985–2009),1997 (1985–2009),"The last confirmed report of the species was in 1985. By 2009, all wetlands where it could feasibly survive had been surveyed, leaving no reasonable doubt that the last individual had died (BirdLife International 2011).",EX,,,,,,,,,,,
Corvidae,Hawaiian Crow Corvus hawaiiensis,"Hawaiian Is, USA",2003,2002–2003),2003 (2002–2003),The last two wild individuals were recorded in 2002 but did not return to their breeding site in 2003 (BirdLife International 2011).,EW,,,,,,,,,,,
